Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,Emision
2026-02-14,30.4,17.0,0.1,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-15,27.4,17.4,8.5,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-16,26.9,14.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-17,30.4,18.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-18,32.7,21.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-19,26.1,19.9,46.9,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-20,27.7,17.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-21,28.7,17.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-22,28.6,19.6,0.1,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-23,29.8,19.7,0.3,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-24,31.2,19.1,0.4,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-25,23.6,14.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-26,25.4,12.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-27,27.4,16.5,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-02-28,27.6,16.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-01,29.7,17.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-02,29.9,19.2,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-03,26.6,17.6,8.5,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-04,29.0,16.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-05,27.6,18.1,2.3,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-06,25.0,19.5,16.3,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-07,25.8,19.2,0.4,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-08,25.1,17.8,2.1,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-09,25.6,18.1,3.1,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-10,26.7,16.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-11,26.7,15.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-12,26.4,15.5,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-13,28.7,17.2,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-14,26.5,18.7,0.2,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-15,31.0,14.5,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-16,30.8,20.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-17,29.1,17.9,1.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-18,26.5,15.1,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-19,27.9,15.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-20,27.4,18.7,11.4,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-21,21.4,14.0,9.5,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00
2026-03-22,23.0,9.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE,Historico_modelo,2026-07-30T19:56:17-03:00

