Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,CalidadDato,Emision
2026-06-04,22.8,13.6,0.0,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-05,19.2,12.2,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:18-03:00
2026-06-06,20.8,13.5,0.0,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-07,16.3,10.7,0.25,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-08,15.2,10.7,0.75,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-09,14.1,10.2,0.0,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-10,14.7,9.9,1.6,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:18-03:00
2026-06-11,17.1,7.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:18-03:00
2026-06-12,18.7,1.9,0.0,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-13,13.3,7.4,0.6,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:18-03:00
2026-06-14,13.4,-1.3,0.0,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-15,16.9,-0.3,0.0,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-16,21.8,5.3,0.0,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-17,15.5,5.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:18-03:00
2026-06-18,10.6,8.7,16.7,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:18-03:00
2026-06-19,15.0,5.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:18-03:00
2026-06-20,16.0,1.6,0.0,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-21,17.8,7.0,0.0,SIGA_INTA_PERGAMINO,Observado,Observado_estacion,2026-07-30T12:13:00+00:00
2026-06-22,11.8,4.8,0.1,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:47:18-03:00
