Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,CalidadDato,Emision
2026-02-12,26.2,11.6,0.4,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:00-03:00
2026-02-13,22.5,10.1,0.0,SIGA_INTA_BALCARCE,Observado,Observado_estacion,2026-07-30T12:09:48+00:00
2026-02-14,25.5,10.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:00-03:00
2026-02-15,25.2,15.2,18.5,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:00-03:00
2026-02-16,27.2,15.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:00-03:00
2026-02-17,30.4,17.6,0.0,SIGA_INTA_BALCARCE,Observado,Observado_estacion,2026-07-30T12:09:48+00:00
2026-02-18,32.3,15.5,0.0,SIGA_INTA_BALCARCE,Observado,Observado_estacion,2026-07-30T12:09:48+00:00
2026-02-19,24.6,14.2,0.1,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:00-03:00
2026-02-20,30.8,8.2,0.0,SIGA_INTA_BALCARCE,Observado,Observado_estacion,2026-07-30T12:09:48+00:00
2026-02-21,32.6,12.8,0.0,SIGA_INTA_BALCARCE,Observado,Observado_estacion,2026-07-30T12:09:48+00:00
2026-02-22,27.5,15.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:00-03:00
2026-02-23,26.8,17.5,4.3,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:00-03:00
2026-02-24,26.2,15.7,0.2,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_repositorio,2026-07-31T01:44:00-03:00
2026-02-25,21.7,12.4,0.0,SIGA_INTA_BALCARCE,Observado,Observado_estacion,2026-07-30T12:09:48+00:00
2026-02-26,25.4,8.3,0.0,SIGA_INTA_BALCARCE,Observado,Observado_estacion,2026-07-30T12:09:48+00:00
